7|Etunimi Sukunimi|Kyllä/Ei|2
7|Etunimi Sukunimi|Kyllä/Ei|7
7|Etunimi Sukunimi|Kyllä/Ei|8
3|Etunimi Sukunimi|Kyllä/Ei|6
3|Etunimi Sukunimi|Kyllä/Ei|7
3|Etunimi Sukunimi|Kyllä/Ei|2
1|Etunimi Sukunimi|Kyllä/Ei|7
1|Etunimi Sukunimi|Kyllä/Ei|5
5|Etunimi Sukunimi|Kyllä/Ei|2
1|Etunimi Sukunimi|Kyllä/Ei|5
8|Etunimi Sukunimi|Kyllä/Ei|5
8|Etunimi Sukunimi|Kyllä/Ei|1
1|Etunimi Sukunimi|Kyllä/Ei|8
1|Etunimi Sukunimi|Kyllä/Ei|3
1|Etunimi Sukunimi|Kyllä/Ei|5
1|Etunimi Sukunimi|Kyllä/Ei|8
1|Etunimi Sukunimi|Kyllä/Ei|5
1|Etunimi Sukunimi|Kyllä/Ei|6
1|Etunimi Sukunimi|Kyllä/Ei|8
1|Etunimi Sukunimi|Kyllä/Ei|6
11|Etunimi Sukunimi|Kyllä/Ei|3
11|Etunimi Sukunimi|Kyllä/Ei|4
